"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-685",WHITE HISPANIC,COOPERATIVE
"2019-687",BLACK,CALM AND COOPERATIVE
"2019-688",BLACK,FRIENDLY
"2019-689",BLACK,AGITATED
"2019-690",WHITE,NORMAL
"2019-691",BLACK,COOPERATIVE
"2019-692",WHITE HISPANIC,CALM
"2019-693",BLACK,NORMAL
"2019-694",WHITE HISPANIC,CALM
"2019-695",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-696",BLACK,AGGRESSIVE
"2019-697",BLACK,CALM
"2019-698",BLACK,AGITATED
"2019-699",BLACK HISPANIC,CALM AND UNDERSTANDING
"2019-700",BLACK,"NERVOUS, CURIOUS"
"2019-701",BLACK,"ANNOYED, NON COMPLIANT"
"2019-702",BLACK,ANNOYED
"2019-703",BLACK,ANNOYED
"2019-704",WHITE HISPANIC,ANNOYED
"2019-705",BLACK,ANNOYED
"2019-706",BLACK,ANNOYED
"2019-707",WHITE HISPANIC,CALM
"2019-708",WHITE HISPANIC,CALM
"2019-709",WHITE,FRIENDLY
"2019-711",BLACK,CALM
"2019-712",WHITE HISPANIC,N/A
"2019-713",ASIAN / PACIFIC ISLANDER,COOPERATIVE
"2019-714",BLACK,NORMAL
"2019-715",BLACK,COOPORATIVE
"2019-716",BLACK,"NUERVOUS, TRIED TO LEAVE, WAS TALKING AND STANDING WITH DEFENDENANT 1 IN REGARDS"
"2019-717",BLACK,HESITANT
"2019-719",BLACK,CALM
"2019-720",BLACK,CONFUSED
"2019-721",WHITE,CALM
"2019-722",WHITE,CALM
"2019-723",WHITE,CALM
"2019-724",BLACK,UPSET
"2019-725",BLACK HISPANIC,NERVOUS
"2019-726",BLACK,CONFUSED
"2019-727",WHITE HISPANIC,CALM
"2019-728",WHITE HISPANIC,CALM
"2019-729",WHITE HISPANIC,CALM
"2019-730",BLACK,CONFUSED AS TO WHAT CRIME SHE COMMITTED AND WHY SHE WAS BEING STOPPED
"2019-731",BLACK,CALM
"2019-732",WHITE,EXTREMELY COOPERATIVE
"2019-733",WHITE,EXTREMELY COOPERATIVE
"2019-734",WHITE,EXTREMELY COOPERATIVE
"2019-735",WHITE,EXTREMELY COOPERATIVE
"2019-736",WHITE HISPANIC,CALM
"2019-737",WHITE HISPANIC,CALM
"2019-738",BLACK,NERVOUS
"2019-739",BLACK,ANNOYED
"2019-740",BLACK,AGITATED
"2019-741",BLACK HISPANIC,COMPLIANT & NORMAL BEHAVIOR
"2019-742",WHITE HISPANIC,COMPLIANT
"2019-743",BLACK,UPSET
"2019-744",BLACK,NORMAL
"2019-745",BLACK HISPANIC,CALM
"2019-746",WHITE HISPANIC,NERVOUS
"2019-747",BLACK,AGITATED
"2019-748",BLACK,UPSET
"2019-749",WHITE HISPANIC,HAPPY
"2019-750",BLACK,NERVOUS
"2019-751",WHITE HISPANIC,TALKATIVE
"2019-752",WHITE HISPANIC,PERSON WAS COOPERATIVE
"2019-753",WHITE HISPANIC,COMPLIANT
"2019-754",BLACK,"SWEATING, OUT OF BREATH"
"2019-755",BLACK,"CONFUSED, INTOXED"
"2019-756",WHITE,CALM
"2019-757",BLACK HISPANIC,CALM
"2019-758",BLACK HISPANIC,COOPERATIVE
"2019-759",BLACK,"COMPLIANT, UNDERSTANDING"
"2019-760",BLACK,UNDERSTANDING
"2019-761",BLACK,IRATE
"2019-762",BLACK,CALM
"2019-763",BLACK,CALM
"2019-764",WHITE HISPANIC,COMPLIANT AFTER HANDCUFFED
"2019-765",BLACK,CALM
"2019-766",WHITE,UPSET
"2019-767",BLACK,COOPERATIVE
"2019-768",BLACK,COOPERATIVE
"2019-769",BLACK,UPSET
"2019-770",BLACK,CALM
"2019-771",BLACK,TALKATIVE
"2019-772",BLACK,CALM
"2019-773",BLACK,SLIGHTLY AGGRESSIVE
"2019-774",WHITE HISPANIC,"APP NORMAL, CALM, COMPLIANT"
"2019-775",WHITE HISPANIC,COMBATIVE AND ANGRY
"2019-776",WHITE HISPANIC,CALM
"2019-777",BLACK,CALM
"2019-778",BLACK HISPANIC,"UPSET, COMBATIVE."
"2019-779",BLACK,CALM
"2019-780",WHITE HISPANIC,CALM
"2019-781",BLACK,CALM AND COOPERATIVE
"2019-782",BLACK,"BELLIGERANT, DISOBEYING LAWFUL ORDER TO STAY ON THE SIDE WALK, PUSHING ETC"
"2019-783",BLACK,CALM
"2019-784",WHITE,ANNOYED.
"2019-785",WHITE HISPANIC,CALM
"2019-786",BLACK,CALM
"2019-787",WHITE HISPANIC,COOPERATIVE
"2019-788",BLACK,COOPRATIVE
"2019-789",BLACK,CALM
"2019-790",WHITE HISPANIC,TALKATIVE
"2019-791",BLACK,NERVOUS
"2019-792",BLACK,COOPERATIVE
"2019-793",WHITE,CALM TALKATIVE
"2019-794",WHITE HISPANIC,CALM APPRECIATIVE
"2019-795",BLACK,PASSIVE
"2019-796",BLACK,PASSIVE
"2019-797",BLACK,PASSIVE
"2019-798",WHITE HISPANIC,AGITATED
"2019-799",WHITE HISPANIC,ANGRY
"2019-802",ASIAN / PACIFIC ISLANDER,CALM
"2019-803",WHITE,CALM
"2019-804",WHITE HISPANIC,HOSTILE
"2019-805",BLACK,APPARENTLY NORMAL
"2019-806",BLACK,NORMAL
"2019-807",BLACK,UPSET
"2019-808",BLACK,CONFUSED
"2019-809",WHITE HISPANIC,NERVOUS / SHAKING
"2019-811",WHITE,UPSET
"2019-812",BLACK,CALM
"2019-813",BLACK,"POSTIVE , SURPRISED"
"2019-814",WHITE HISPANIC,ANGRY/NERVOUS
"2019-815",WHITE,CALM
"2019-816",WHITE HISPANIC,CALM
"2019-817",WHITE HISPANIC,CALM
"2019-818",WHITE HISPANIC,CALM
"2019-819",BLACK,INTOXICATED
"2019-820",BLACK,AGITATED
"2019-821",BLACK,NERVOUS
"2019-822",WHITE HISPANIC,AGGITATED
"2019-823",BLACK,CALM
"2019-824",BLACK,AGITATED
"2019-825",BLACK,COMBATIVE
"2019-826",BLACK,NERVOUS
"2019-827",BLACK,NERVOUS
"2019-828",WHITE HISPANIC,CALM
"2019-829",BLACK,NERVOUS
"2019-830",BLACK,NORMAL
"2019-831",WHITE,EMOTIONALLY DISTURBED
"2019-832",WHITE,CALM
"2019-834",BLACK,CALM
"2019-835",WHITE HISPANIC,HIGHLY AGITATED
"2019-836",BLACK,ACTING EMOTIONALLY DISTRESSED
"2019-837",BLACK,CALM
"2019-838",BLACK,CALM
"2019-844",WHITE,EMOTIONALLY DISTURBED
"2019-845",WHITE HISPANIC,CALM
"2019-846",BLACK,CALM
"2019-847",WHITE HISPANIC,CONFUSED
"2019-848",BLACK,CALM
"2019-849",WHITE,CALM
"2019-850",WHITE HISPANIC,CALM
"2019-851",BLACK HISPANIC,NERVOUS
"2019-852",BLACK,BELIGERANT
"2019-853",BLACK,CALM
"2019-854",BLACK,CALM
"2019-855",WHITE HISPANIC,COOPERATIVE
"2019-856",BLACK,OUT OF BREATH
"2019-857",BLACK,NERVOUS
"2019-858",BLACK,"REPEATEDLY SAID THE SAME THING, NERVOUS, MOVING ERRACTICALLY, PULLED UP HIS CLOT"
"2019-859",BLACK,"NERVOUS, COULDNT STAND STILL"
"2019-860",BLACK,CALM
"2019-861",BLACK,NORMAL
"2019-862",BLACK,AGGRESSIVE
"2019-863",BLACK,NERVOUS
"2019-864",BLACK,CALM/COMPLIANT
"2019-865",WHITE HISPANIC,CALM
"2019-866",BLACK,FRANTIC/LOUD/NERVOUS/ANXIOUS/ANTSY
"2019-867",BLACK HISPANIC,AGITATED
"2019-869",BLACK,ANNOYED
"2019-870",WHITE HISPANIC,CALM
"2019-872",BLACK,AGITATED
"2019-897",BLACK,CONFRONTATIONAL
"2019-873",BLACK,CALM
"2019-874",BLACK,UNCOOPERATIVE & COMBATIVE
"2019-875",BLACK,CALM
"2019-876",BLACK,COMPLIANT
"2019-877",BLACK,CALM
"2019-878",WHITE,VERY NERVOUS
"2019-879",BLACK,NERVOUS
"2019-880",BLACK,CALM
"2019-881",BLACK,CALM
"2019-882",BLACK,UPSET
"2019-883",WHITE HISPANIC,CALM
"2019-884",BLACK,CALM
"2019-885",WHITE HISPANIC,CALM
"2019-886",BLACK,CALM
"2019-887",WHITE HISPANIC,NORMAL
"2019-888",WHITE HISPANIC,NERVOUS
"2019-889",WHITE,AGITATED
"2019-890",WHITE HISPANIC,CALM
"2019-891",WHITE,CALM
"2019-892",WHITE,CALM
"2019-893",BLACK,ANNOYED
"2019-894",WHITE HISPANIC,FINE
"2019-895",BLACK,CONFRONTATIONAL
"2019-896",BLACK,LOUD AND OBNOXIOUS
"2019-898",BLACK,CALM
"2019-899",BLACK,CALM
"2019-900",BLACK,AGITATED
"2019-901",WHITE HISPANIC,NERVOUS
"2019-902",WHITE HISPANIC,CALM
"2019-903",BLACK,CALM
"2019-904",BLACK,CALM
"2019-905",BLACK,CALM
"2019-906",WHITE HISPANIC,CALM; COMPLIANT
"2019-907",BLACK,CALM; COMPLIANT
"2019-908",WHITE HISPANIC,COOPERATIVE
"2019-909",AMERICAN INDIAN/ALASKAN N,NERVOUS
"2019-910",BLACK,SCARED
"2019-911",BLACK HISPANIC,CALM
"2019-912",BLACK HISPANIC,"CALM, UNDERSTANDING"
"2019-913",BLACK,NORMAL
"2019-914",BLACK,SHOCKED
"2019-915",ASIAN / PACIFIC ISLANDER,COMPLIANT
"2019-916",BLACK,CALM
"2019-917",BLACK,"ANXIOUS, ARGUEMENTIVE"
"2019-918",BLACK,CALM AND COOPERATIVE WITH PO ORDERS
"2019-919",BLACK,CALM
"2019-920",BLACK,CALM
"2019-921",BLACK,CALM
"2019-922",BLACK,AGITATED
"2019-923",BLACK,CALM
"2019-924",BLACK,CALM
"2019-925",BLACK,CALM
"2019-926",BLACK,"CALM, COOPERATIVE"
"2019-927",BLACK,"CLAM, COOPERATIVE"
"2019-928",WHITE HISPANIC,NERVOUS / COOPERATIVE
"2019-929",BLACK,CONFUSED
"2019-930",BLACK,CALM
"2019-931",BLACK,CALM
"2019-932",BLACK,CALM
"2019-933",BLACK,UPSET
"2019-934",BLACK,ANGRY
"2019-936",WHITE HISPANIC,NERVOUS / OUT OF BREATH
"2019-937","",AGITATED
"2019-938",BLACK,"HOSTILE, AGITATED"
"2019-939",WHITE HISPANIC,NERVOUS
"2019-941",WHITE HISPANIC,CALM
"2019-942",WHITE HISPANIC,COOPERATIVE
"2019-943",WHITE HISPANIC,CALM
"2.02E+12",BLACK,MAD
"2019-944",BLACK HISPANIC,CALM
"2019-945",BLACK HISPANIC,AGITATED
"2019-946",BLACK HISPANIC,AGITATED
"2019-947",BLACK,CALM
"2019-948",BLACK,ANNOYED
"2019-949",BLACK,UNCOOPERATIVE
"2019-950",BLACK,UNCOOPERATIVE
"2019-951",BLACK,UPSET
"2019-952",BLACK,CALM
"2019-953",BLACK,VISIBLY NERVOUS/SHAKING
"2019-954",WHITE,CALM
"2019-955",BLACK,NORMAL
"2019-956",WHITE HISPANIC,CALM
"2019-957",BLACK,UPSET
"2019-958",BLACK,NERVOUS
"2019-959",BLACK,NERVOUS
"2019-960",BLACK,NERVOUS
"2019-961",WHITE,AGITATED
"2019-962",WHITE HISPANIC,AGITATED
"2019-963",BLACK,AGGRESSIVE
"2019-964",BLACK,CALM
"2019-965",BLACK,APPARENTLY NORMAL
"2019-966",WHITE HISPANIC,CALM
"2019-967",WHITE HISPANIC,ARGUMENTATIVE
"2019-968",BLACK,NERVOUS
"2019-969",BLACK,CALM AND COMPLIANT
"2019-970",BLACK HISPANIC,NERVOUS
"2019-971",BLACK HISPANIC,NERVOUS
"2019-972",WHITE HISPANIC,CALM
"2019-973",BLACK,CALM
"2019-974",BLACK,COOPERATIVE
"2019-975",BLACK,MAD HE RECEIVED A TRAFFIC TICKET FROM TRAFFIC AGENT.
"2019-976",BLACK,JUST WANTED TO LEAVE.
"2019-977",WHITE HISPANIC,COMPLIANT
"2019-978",BLACK,UPSET
"2019-979",BLACK,CALM
"2019-980",BLACK,CALM
"2019-981",BLACK,SHOCKED
"2019-982",BLACK,SUPRISED
"2019-983",BLACK,CALM
"2019-984",BLACK,CALM
"2019-985",BLACK,CALM
"2019-986",BLACK,CALM
"2019-987",BLACK,CALM
"2019-988",BLACK,"AGITATED, FRUSTRATED"
"2019-989",WHITE HISPANIC,FRUSTRATED
"2019-990",BLACK,CALM
"2019-991",WHITE HISPANIC,NERVOUS
"2019-992",BLACK HISPANIC,UPSET
"2019-993",WHITE HISPANIC,CALM
"2019-994",BLACK,IRRATE
"2019-995",BLACK,NERVOUS/CHATTY
"2019-996",BLACK,CALM
"2019-997",BLACK,NERVOUS
"2019-998",BLACK,"NERVOUS, SHAKING"
"2019-999",BLACK,CALM
"2019-1000",BLACK,CLAIM
"2019-1001",BLACK,CALM
"2019-1002",BLACK,CALM
"2019-1003",WHITE HISPANIC,CALM
"2019-1004",BLACK,CALM
"2019-1005",BLACK,ABRASIVE
"2019-1006",BLACK,SURPRISED
"2019-1007",BLACK,CALM
"2019-1009",BLACK,COOPERATIVE
"2019-1010",BLACK,NERVOUS
"2019-1011",WHITE HISPANIC,NERVOUS
"2019-1012",WHITE HISPANIC,CALM
"2019-1013",BLACK,"NERVOUS, SWEATING, FIDGITING"
"2019-1014",BLACK,"NERVOUS, SWEATING, FIDGITING"
"2019-1015",BLACK,"BELLIGERENT, AGGRESSIVELY SHOUTING"
"2019-1016",BLACK,"CONFUSED, COMPLIANT"
"2019-1017",BLACK,RELAXED AND COMPLIANT
"2019-1018",BLACK,CALM AND COMLIANT
"2019-1019",BLACK,COMPLIANT
"2019-1020",WHITE HISPANIC,CALM
"2019-1021",WHITE HISPANIC,COMPLIANT
"2019-1022",WHITE,CALM
"2019-1023",WHITE HISPANIC,"COMBATIVE, YELLING AND SCREAMING"
"2019-1024",WHITE HISPANIC,AGITATED
"2019-1025",BLACK,AGITATED
"2019-1027",WHITE,NORMAL
"2019-1028",BLACK,CALM
"2019-1029",BLACK,APPARENTLY NORMAL
"2019-1030",BLACK,AGITATED
"2019-1031",BLACK,"COMBATIVE, IRATE"
"2019-1032",BLACK HISPANIC,COOPERATIVE BUT NERVOUS
"2019-1033",BLACK,CALM
"2019-1034",WHITE,COMPLIENT
"2019-1035",BLACK,UNCOOPERATIVE AND NERVOUS
"2019-1036",WHITE,AGITATED
"2019-1037",BLACK,CALM
"2019-5125",BLACK,CALM
"2019-1038",BLACK,DEFENSIVE
"2019-1039",BLACK,AGGRESSIVE
"2019-1040",BLACK,AGRESSIVE
"2019-1041",BLACK,AGRESSIVE
"2019-1042",BLACK,COMBATIVE AND ANNOYED
"2019-1043",BLACK,CALM
"2019-1044",WHITE,APPARENTLY NORMAL
"2019-1045",WHITE,CALM
"2019-1046",BLACK,AGITATED
"2019-1047",BLACK,CALM
"2019-1048",WHITE,CALM
"2019-1049",WHITE,CALM
"2019-1050",WHITE,AGGRESSIVE
"2019-1051",WHITE HISPANIC,CALM
"2019-1052",BLACK,CONCERNED
"2019-1053",WHITE,CONCERNED
"2019-1054",BLACK HISPANIC,COMPLIANT
"2019-1055",BLACK,DELAYING/OBSTRUCT
"2019-1056",BLACK,CALM AND UNDERSTANDING
"2019-1057",WHITE HISPANIC,UPSET/CRYING
"2019-1058",BLACK,NORMAL
"2019-1059",BLACK,CALM
"2019-1060",WHITE HISPANIC,CALM
"2019-1061",WHITE,CALM
"2019-1062",BLACK,AGGRESSIVE
"2019-1063",WHITE,CALM
"2019-1064",BLACK,COMPLIANT
"2019-1065",BLACK,UPSET
"2019-1066",BLACK,QUIET
"2019-1067",WHITE,IRATE
"2019-1068",WHITE,IRATE
"2019-1069",WHITE HISPANIC,UNDERSTANDING
"2019-1070",BLACK,AGITATED
"2019-1071",BLACK,COMPLIANT
"2019-1072",WHITE HISPANIC,UPSET
"2019-1073",BLACK,IRATE
"2019-1074",BLACK,IRRATE AND COMBATIVE
"2019-1075",WHITE,REGRETFUL
"2019-1076",BLACK HISPANIC,CALM
"2019-1077",ASIAN / PACIFIC ISLANDER,CALM
"2019-1078",BLACK,CALM
"2019-1079",BLACK HISPANIC,CALM
"2019-1080",BLACK HISPANIC,CALM
"2019-1081",BLACK,ARGUMENTATIVE
"2019-1083",BLACK,CALM
"2019-1084",WHITE,CALM
"2019-1085",WHITE HISPANIC,CONFRONTATIONAL
"2019-1086",BLACK,CALM
"2019-1087",BLACK,AGITATED
"2019-1088",BLACK,CONFUSED
"2019-1089",BLACK,COMPLIANT
"2019-1090",BLACK,CONFRONTATIONAL
"2019-1091",WHITE,GRATEFUL
"2019-1092",BLACK,COOPERATIVE
"2019-1093",BLACK,CALM
"2019-1094",BLACK,COMPLIANT
"2019-1095",BLACK,COMPLIANT
"2019-1096",WHITE HISPANIC,NERVOUS AND SWEATING
"2019-1097",BLACK HISPANIC,CALM
"2019-1098",WHITE HISPANIC,UPSET
"2019-1100",WHITE,CALM
"2019-1101",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-1102",BLACK,CALM
"2019-1103",BLACK,PLEASANT
"2019-1104",BLACK,CALM
"2019-1105",WHITE HISPANIC,CALM
"2019-1106",WHITE HISPANIC,CALM
"2019-1107",WHITE HISPANIC,CALM
"2019-1108","",CALM
"2019-1109",WHITE HISPANIC,CALM
"2019-1110",BLACK,UNCOOPERATIVE
"2019-1111",BLACK,SHOCKED
"2019-1112",BLACK,NORMAL
"2019-1113",BLACK,COOPERATIVE
"2019-1114",BLACK,CALM
"2019-1115",WHITE HISPANIC,CALM
"2019-1116",BLACK,UNDERSTANDING
"2019-1117",BLACK,COMPLIANT
"2019-1118",ASIAN / PACIFIC ISLANDER,CALM
"2019-1119",BLACK,UPSET
"2019-1120",BLACK,CALM
"2019-1121",BLACK,NERVOUS
"2019-1122",WHITE HISPANIC,CALM
"2019-1123",BLACK,CALM AND RELAX
"2019-1124",BLACK,UPSET AND ANNOYED
"2019-1125",BLACK,VERY ANGRY AND DISTRAUGHT. HAD CALMED DOWN AND SEEMED RELAXED AFTER OFFICERS EXP
"2019-1126",WHITE HISPANIC,AGITATED AND NERVOUS
"2019-1127",WHITE,NERVOUS
"2019-1128",BLACK,ANGRY
"2019-1129",WHITE,COOPERATIVE
"2019-1130",BLACK,OUT OF BREATH & EXCITED
"2019-1131",BLACK,UPSET FOR MISSING TRAIN .
"2019-1132",WHITE HISPANIC,CALM
"2019-1133",BLACK HISPANIC,NORMAL NO INJURIES
"2019-1134",BLACK,CALM
"2019-1135",BLACK,CALM
"2019-1136",WHITE HISPANIC,CALM
"2019-1137",WHITE,CALM
"2019-1138",BLACK,COMPLIANT
"2019-1139",WHITE HISPANIC,NERVOUS
"2019-1140",WHITE HISPANIC,NERVOUS
"2019-1141",BLACK,COOPERATIVE
"2019-1142",BLACK,AGITATED
"2019-1143",WHITE,CALM AND COOPERATIVE
"2019-1144",BLACK HISPANIC,NORMAL NO INJURIES
"2019-1145",WHITE HISPANIC,"ANGRY, IRRIATE, IMPATIENT"
"2019-1146",BLACK,COMPLIANT
"2019-1147",BLACK,COMPLIANT
"2019-1148",BLACK,COMPLIANT
"2019-1149",BLACK,UPSET
"2019-1150",BLACK,NERVOUS
"2019-1151",BLACK,"AGGRESSIVE, EVASIVE"
"2019-1152",BLACK,COMPLIANT
"2019-1154",WHITE,CALM
"2019-1155",WHITE HISPANIC,NERVOUS
"2019-1156",BLACK HISPANIC,CALM AND RELAXED
"2019-1157",BLACK,CALM / COOPERATIVE
"2019-1158",BLACK,IRRATE
"2019-1159",BLACK,HOSTILE AND VERBALLY ABUSIVE BUT COMPLIED.
"2019-1160",BLACK,ARGUMENTATIVE
"2019-1161",BLACK,NORMAL
"2019-1162",WHITE,NORMAL
"2019-1163",WHITE HISPANIC,NERVOUS
"2019-1164",WHITE,CALM
"2019-1165",WHITE,UPSET
"2019-1166",WHITE,NERVOUS
"2019-1167",WHITE HISPANIC,COMPLIANT AND WILLING
"2019-1168",WHITE,NORMAL
"2019-1169",BLACK,CALM
"2019-1170",ASIAN / PACIFIC ISLANDER,CALM
"2019-1171",BLACK,"UPSET, NERVOUS"
"2019-1172",BLACK,CALM
"2019-1173",BLACK HISPANIC,FIDGETY
"2019-1174",BLACK,CALM
"2019-1175",BLACK,UPSET
"2019-1176",WHITE,COOPERATIVE
"2019-1177",BLACK,"NERVOUS, ANXIOUS"
"2019-1178",WHITE,NERVOUS
"2019-1179",BLACK,MUMBLING AND SPEAKING INCOHERENTLY
"2019-1180",BLACK,UPSET
"2019-1181",BLACK,DEFENSIVE
"2019-1182",WHITE,NERVOUS
"2019-1183",BLACK,ANGRY
"2019-1184",BLACK,"QUIET, OUT OF BREATH, SWEATING"
"2019-1185",BLACK,"QUIET, OUT OF BREATH AND SWEATING"
"2019-1186",BLACK,FIDGETY
"2019-1187",BLACK,BELLIGERENT
"2019-1188",BLACK,AGGRESSIVE AND AGITATED
"2019-1189",BLACK,BELLIGERENT
"2019-1190",BLACK,BELLIGERENT
"2019-1191",BLACK HISPANIC,NERVOUSE
"2019-1192",BLACK HISPANIC,NERVOUS
"2019-1193",BLACK,AGITATED
"2019-1194",BLACK,UPSET
"2019-1195",BLACK HISPANIC,UPSET
"2019-1196",BLACK,UPSET
"2019-1197",WHITE HISPANIC,UPSET
"2019-1198",BLACK,CALM
"2019-1200",BLACK,AGGITATED
"2019-1201",WHITE HISPANIC,RELAXED
"2019-1202",BLACK,PERSON WAS UNDERSTANDING OF CIRCUMSTANCES
"2019-1203",BLACK,AGITATED
"2019-1204",BLACK,AGITATED
"2019-1205",BLACK,AGITATED
"2019-1206",BLACK,NERVOUS
"2019-1207",BLACK,"YELLING, AND LAUGHING"
"2019-1208",BLACK,YELLING AND LAUGHING
"2019-1209",BLACK,YELLING AND LAUGHING
"2019-1210",BLACK,NERVOUS
"2019-1211",BLACK,CALM
"2019-1212",WHITE,CALM
"2019-1213",WHITE,CALM
"2019-1214",BLACK,DISORIENTED/CALM
"2019-1216",WHITE HISPANIC,NORMAL
"2019-1217",WHITE HISPANIC,INITIALLY NERVOUS
"2019-1218",BLACK HISPANIC,NERVOUS
"2019-1219",BLACK HISPANIC,NERVOUS
"2019-1220",BLACK HISPANIC,NERVOUS
"2019-1221",WHITE,NERVOUS AND FURTIVE MOVEMENTS
"2019-1222",BLACK,COOPERATIVE
"2019-1223",BLACK,CALM
"2019-1224",BLACK,CALM
"2019-1225",WHITE HISPANIC,UPSET
"2019-1226",BLACK,ANNOYED
"2019-1227",BLACK,CALM
"2019-1228",BLACK,CALM
"2019-1230",WHITE,POLITE AND CALM
"2019-1231",WHITE,VERY FRIENDLY
"2019-1232",WHITE,VERY FRIENDLY
"2019-1233",WHITE,UNDERSTANDING
"2019-1234",BLACK,NORMAL
"2019-1235",ASIAN / PACIFIC ISLANDER,ADVERSARIAL TOWARDS WITNESS
"2019-1236",WHITE,COMPLIANT
"2019-1237",BLACK,COOPERATIVE
"2019-1238",BLACK,COOPERATIVE
"2019-1239",BLACK,ANNOYED
"2019-1240",WHITE,CALM
"2019-1241",BLACK,COMPLIANT
"2019-1242",BLACK,CALM
"2019-1243",BLACK,COMPLIANT
"2019-1244",BLACK,SCARED
"2019-1245",BLACK,"COMPLIANT, OUT OF BREATH"
"2019-1246",BLACK,CALM
"2019-1247",BLACK,CALM
"2019-1248",BLACK HISPANIC,CALM
"2019-1249",BLACK,INTOX
"2019-1250",WHITE HISPANIC,APPARENTLY NORMAL
"2019-1251",BLACK,CALM
"2019-1252",BLACK,CALM
"2019-1253",BLACK,CALM
"2019-1254",BLACK,CALM
"2019-1255",WHITE,CALM
"2019-1256",BLACK HISPANIC,COMPLIANT
"2019-1257",BLACK,ACTING CONFUSED AS TO WHY HE WAS BEING STOPPED
"2019-1258",BLACK,COMPLIANT
"2019-1259",WHITE,"NORMAL, CALM"
"2019-1260",WHITE HISPANIC,CONFUSED
"2019-1261",BLACK,COMPLIANT
"2019-1262",BLACK,ANNOYED
"2019-1263",BLACK,CALM/UPSET
"2019-1264",BLACK,CALM
"2019-1265",BLACK,CALM
"2019-1266",WHITE HISPANIC,CALM
"2019-1267",BLACK,CALM
"2019-1268",WHITE,CALM
"2019-1269",WHITE,NERVOUS
"2019-1270",BLACK,NORMAL
"2019-1271",BLACK,"CALM, COOPERATIVE"
"2019-1272",BLACK,NORMAL
"2019-1273",WHITE,CALM AND COOPERATIVE WITH PD.
"2019-1274",WHITE HISPANIC,ANGRY
"2019-1275",BLACK,COMPLIANT
"2019-1276",BLACK,COMPLIANT
"2019-1277",BLACK,COMPLIANT
"2019-1278",BLACK,HAPPY
"2019-1279",BLACK,NERVOUS
"2019-1280",WHITE,FEINING BEWILDERMWENT
"2019-1281",BLACK,APOLOGETIC
"2019-1282",BLACK,AGGRESSIVE AND UNCOOPERATIVE
"2019-1283",BLACK HISPANIC,CALM
"2019-1284",WHITE,CALM
"2019-1285",BLACK,AGITATED
"2019-1286",BLACK,CALM
"2019-1287",BLACK,ANNOYED
"2019-1288",BLACK,COMPLIANT
"2019-1289",WHITE HISPANIC,"HE WAS SORRY DID NOT WANTED TO GO TO JAIL, WANTED TO RETURNED STOLEN PROPERTY AN"
"2019-1290",BLACK,COMPLIANT
"2019-1291",BLACK,CALM
"2019-1293",BLACK,ANGRY
"2019-1294",BLACK,CALM
"2019-1295",BLACK,APPARENTLY NORMAL
"2019-1296",BLACK,APPARENTLY NORMAL
"2019-1297",BLACK,APPARENTLY NORMAL
"2019-1298",BLACK,COMPLIANT
"2019-1299",BLACK,"CALM, UNDERSTANDING."
"2019-1300",WHITE HISPANIC,CALM.
"2019-1301",BLACK,LOUD
"2019-1302",BLACK,ANNOYED
"2019-1303",BLACK,ANGRY
"2019-1304",BLACK,UPSET
"2019-1306",BLACK,AGITATED AND UNREASONABLE
"2019-1307",BLACK HISPANIC,COMPLIANT
"2019-1308",WHITE,CALM
"2019-1309",WHITE HISPANIC,CALM
"2019-1310",WHITE HISPANIC,COMPLIANT
"2019-1311",WHITE,COOPERATIVE
"2019-1312",BLACK,NERVOUS
"2019-1313",BLACK,CALM
"2019-1314",BLACK,CALM AND THANKFUL
"2019-1315",BLACK,COOPERTIVE
"2019-1316",BLACK,NERVEUS
"2019-1317",BLACK HISPANIC,COMPLIANT
"2019-1318",BLACK,"DISRESPECTFUL, UNCOOPERATIVE"
"2019-1320",BLACK,CALM
"2019-1321",BLACK,CALM
"2019-1322",BLACK,CALM
"2019-1323",BLACK,CALM
"2019-1324",BLACK,COMPLIANT
"2019-1325",WHITE HISPANIC,COMPLIANT
"2019-1326",BLACK,NORMAL
"2019-1327",BLACK,OUT OF BREATH/SWEATING
"2019-1328",WHITE,"CALM, COMPLIANT"
"2019-1329",WHITE,"CALM, COMPLIANT"
"2019-1330",BLACK,NERVOUS
"2019-1332",BLACK,CALM
"2019-1333",BLACK,UPSET
"2019-1334",WHITE HISPANIC,QUIET
"2019-1335",WHITE,ANGRY
"2019-1336",BLACK,CALM
"2019-1337",BLACK,COMPLIANT
"2019-1338",WHITE HISPANIC,"CALM, COMPLIANT, THANKFUL"
"2019-1339",BLACK HISPANIC,CALM
"2019-1340",WHITE HISPANIC,COMPLIANT
"2019-1341",BLACK,CALM
"2019-1342",BLACK,"UNCOOPERATIVE, ANGRY, INCONSISTANT"
"2019-1343",BLACK,"NERVOUS, INCOSISTANT REMARKS"
"2019-1344",BLACK,NORMAL
"2019-1345",BLACK,AGGRESSIVE
"2019-1346",BLACK,NERVOUS
"2019-1347",BLACK,NERVOUS/ UPSET/ AGGRESSIVE
"2019-1348",WHITE HISPANIC,NERVOUS
"2019-1349",WHITE,ANXIOUS
"2019-1350",BLACK,WORRIED
"2019-1351",BLACK,CALM
"2019-1352",WHITE,CALM
"2019-1353",WHITE,CALM
"2019-1354",BLACK,COOPERATIVE
